Choice,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,3893,1059,168,3.2604733081,1.051286304,1.1008237642,0.1005033585,1.1008237642,15,95.8,2188.73333333,78083,679,3680,165.594483553,89.1431564125,5.1862668448,2.4168313702,7.1793637855,682,82.9869565217,3777.76666667
0,9498,15,120,5.2591833042,2.6632800034,0.3419364717,0.1005033585,1.3434091202,21,105.619047619,2297.42857143,1287,935,68,2.4355793589,0.1005033585,1.8616231675,0.6088956694,2.0704554864,10,418.1,6378.5
0,5151,2195,213,23.0043971135,13.5295027322,4.8493923758,2.5882985948,4.3711974081,95,96.587628866,2232.69072165,8120,710,959,7.3686429024,2.088374797,1.5987978599,0.5958120124,1.3328494442,29,205.533333333,4302.46666667
0,5996,906,192,15.0502080114,3.3308283763,0.8371689755,0.349326776,0.588345558,68,50.6470588235,1483.98529412,1607541,93,9876,389.533119657,217.628442156,0.3595336011,0.1005033585,0.8497901318,1706,9.9790331974,774.39895166
1,794,892,32,1.336914175,0.3621500682,1.0592125586,0.3371319527,0.8225839644,4,0,68.5,254,341,9,6.5257924076,1.1579752375,1.3328979597,0.3518401439,1.5671602679,21,74.3333333333,2138.23809524
1,15539,1994,1058,52.3659298229,15.0347232121,12.0795330509,2.6063440221,11.3062037543,193,127.850515464,2258.12371134,2061,376,62,53.3556894453,2.9346257885,1.4193618829,0.3674625562,1.1524026852,185,54.6810810811,2003.22162162
0,488750,320,3673,1207.19007707,599.721600029,0.842022025,0.5931986075,7.0447345452,3918,7.8598178138,637.983299595,266407,1592,6734,660.897263062,297.090332679,28.2579999628,0.8396823434,20.7226649911,2376,66.3959899749,2706.10818713
1,186557,90762,3166,489.106378736,75.7688776728,0.1005033585,0.1005033585,0.1005033585,764,309.220492866,20356.0155642,100836,144,1781,512.444492859,143.893264105,4.5897566217,1.8449317073,5.1108506011,1743,30.7592067989,1251.02832861
0,60,44,2,0.1005033585,0.1005033585,0.1005033585,0.1005033585,0.1005033585,0,0,0,10266,4744,730,28.1166948073,4.0186142448,6.3604999884,0.6161297496,5.8747641737,101,178.871287129,2959.03960396
0,314,398,11,2.9117562808,0.5034618693,1.5463472457,0.3324230437,1.3338446607,9,16.1111111111,495.777777778,131920,364,6974,651.765133792,170.153144385,4.801919843,0.3419364717,7.0540441627,2335,59.5890063425,1840.8744186
0,579,675,13,1.7609224109,0.3419364717,2.0101467079,0.1005033585,1.7877404507,7,66.4285714286,1395.85714286,1601,1814,81,1.895321369,0.5054987098,0.3569432987,0.1005033585,0.3569432987,9,840.666666667,58998.6666667
1,28613,3557,9,0.7514342508,0.2959984786,0.1005033585,0.1005033585,0.1005033585,3,2.6666666667,218.333333333,2651,2838,195,15.7581262211,5.3193543951,14.1782998085,1.3687795119,6.6216545612,60,89.0317460317,3293.31746032
